Prey / Predator,D,N,P1,P2,M1,M2
D,1.1117768980,1.1082060201,1.0843013635,1.1234071895,1.0955212445,1.1069753841
N,1.0644188296,1.1069820909,1.0812134276,1.0945201336,1.0838900822,1.0903641217
P1,1.0790951410,1.1460819906,1.1161463608,1.1399295467,1.1235837731,1.1215355904
P2,1.0812694516,1.1179950279,1.0692662356,1.1107738417,1.0841693486,1.0762200612
M1,1.0660932306,1.1317035214,1.0809671694,1.1221319380,1.1145478212,1.0823620935
M2,1.0948253094,1.1322900685,1.0880834324,1.1205258315,1.0786152812,1.1123549136
