Prey / Predator,D,N,P1,P2,M1,M2
D,0.7659575069,0.8249833588,0.7810501407,0.8092367009,0.7951188080,0.7950308226
N,0.7480235697,0.8054255777,0.7624670428,0.7903370462,0.7758315830,0.7768935304
P1,0.7612879430,0.8199452905,0.7760718119,0.8044185284,0.7899092840,0.7904488124
P2,0.7526014059,0.8105092941,0.7672788684,0.7952113210,0.7808819595,0.7815176167
M1,0.7568492025,0.8155306984,0.7717314034,0.7998147039,0.7853630986,0.7860276708
M2,0.7570425362,0.8149256066,0.7716179688,0.7997811289,0.7854348495,0.7858810415
