prey,predator,prey_payoff,predator_payoff
D,D,1.1089503627,0.8498981896
N,N,1.1167749824,0.8275111648
P1,P1,1.1159211450,0.8428712016
D,M2,1.1254881018,0.8488857192
D,P1,1.1406858316,0.8397881045
N,M2,1.0622440881,0.8442996418
D,M1,1.1500391719,0.8360441997
P1,N,1.1531859054,0.8328954423
D,P2,1.1378997699,0.8439620219
N,P1,1.0518434567,0.8483949713
N,P2,1.0929561192,0.8340219018
P1,D,1.0848917255,0.8522061479
N,M1,1.0813710584,0.8385236724
D,N,1.1638169304,0.8356278715
N,D,1.0356603960,0.8524130046
P1,P2,1.1247765762,0.8415801251
P2,P2,1.1099527602,0.8345520796
P1,M2,1.0922821277,0.8535456628
P1,M1,1.1349548399,0.8361199487
P2,D,1.0702350486,0.8456766222
M1,M1,1.1129109392,0.8387021860
P2,M2,1.0892499985,0.8418174064
P2,N,1.1282097283,0.8297151407
P2,M1,1.0957702649,0.8383643250
M1,D,1.0721518968,0.8521074030
M1,N,1.1422039425,0.8295658418
M1,P1,1.0927820499,0.8456943977
M1,P2,1.0909739761,0.8489477931
M2,D,1.0833974033,0.8456542542
P2,P1,1.0854335050,0.8417433474
M2,N,1.1391855159,0.8330634117
M1,M2,1.0576390413,0.8609312791
M2,M2,1.1129247916,0.8387487256
M2,P2,1.1324774114,0.8317536081
M2,P1,1.1001441300,0.8420139957
M2,M1,1.1050122925,0.8403947496
