Prey / Predator,D,N,P1,P2,M1,M2
D,1.1067266938,1.0891637981,1.1406679404,1.1233388758,1.1508153629,1.1094710464
N,1.0688935931,1.1201873103,1.0770114132,1.1055732896,1.0959845879,1.0858799899
P1,1.0573679271,1.1463020589,1.1266076683,1.0595925191,1.1407791063,1.0341455198
P2,1.0847475403,1.1124999880,1.1073512843,1.1195704099,1.1154649169,1.1030654128
M1,1.0448096701,1.1263990559,1.1075926088,1.0343744746,1.1236051334,1.0115807181
M2,1.0981014560,1.1323891518,1.1199755956,1.1370662493,1.1234958267,1.1225167900
