Prey / Predator,D,N,P1,P2,M1,M2
D,1.0499209766,1.0696318268,1.0553483428,1.0616357882,1.0546586790,1.0621019482
N,0.8965911376,1.0532062899,1.0454955912,1.0429755775,1.0434250141,1.0448594922
P1,1.0125665158,1.0632993477,1.0535998990,1.0575499838,1.0562229371,1.0618397960
P2,1.0412189238,1.0568784649,1.0453492048,1.0522498646,1.0406786674,1.0501469930
M1,1.0176279244,1.0569971412,1.0507972260,1.0653638357,1.0528888375,1.0510520407
M2,1.0415685302,1.0632414691,1.0405839000,1.0555115837,1.0443029955,1.0530029292
