Prey / Predator,D,N,P1,P2,M1,M2
D,0.3063060443,0.1938190101,0.2999454102,0.3020760494,0.3067906829,0.2949122191
N,0.5518166902,0.3089444992,0.2908169808,0.3213070195,0.3141492862,0.2981365730
P1,0.3885083908,0.3112702740,0.2973113211,0.2978242106,0.3039662737,0.2663995869
P2,0.3006498467,0.3081356390,0.2881776365,0.3078966612,0.3345960513,0.3005779429
M1,0.3753773913,0.3099017629,0.2952804961,0.2620249632,0.3025479975,0.1583778507
M2,0.3018154786,0.3092924579,0.3317769665,0.3095053492,0.2005611483,0.3025668074
