prey,predator,payoff
N,N,0.9924594603
N,M2,0.9858722256
P1,N,0.8125591298
N,P1,0.9731687925
N,P2,0.9808495455
N,M1,0.9683603387
N,D,0.9698648268
P1,P2,0.9340897288
P1,M2,0.9341312284
P2,N,0.8264959318
D,N,0.6838011496
M1,N,0.7381208666
M1,P2,0.9311868219
P2,M1,0.8784913958
P1,D,0.9196938178
P2,P1,0.8526614766
M1,M2,0.8996151114
M2,N,0.9011919382
M1,D,0.8851501224
M2,P1,0.9250099093
M2,M1,0.9245708751
