Prey / Predator,D,N,P1,P2,M1,M2
D,1.1131725077,1.1395685505,1.1487727598,1.1362745634,1.1588085856,1.1246119663
N,1.0794347348,1.1393505365,1.0802366078,1.1126059931,1.1031571379,1.0891717471
P1,1.0896227142,1.1637566208,1.1297264469,1.0524960034,1.1451724715,1.0183833866
P2,1.0866317618,1.1324544667,1.1243764597,1.1228751032,1.1301392786,1.1076240262
M1,1.0765190912,1.1466812636,1.1117726831,1.0180004498,1.1266431615,0.9797484246
M2,1.0999132831,1.1495471934,1.1348458324,1.1417357455,1.1388570531,1.1259231398
