Prey / Predator,D,N,P1,P2,M1,M2
D,0.8779140122,0.6917315297,0.8604948043,0.8932958708,0.8718738709,0.8798616063
N,0.6766289002,0.8662536061,0.8020043113,0.8595064114,0.8433813537,0.8132729077
P1,0.8754415182,0.8674119528,0.8691524637,0.8545089279,0.8840065378,0.8606487447
P2,0.8422688200,0.8353242887,0.8075940748,0.8801876302,0.8531799728,0.8551570798
M1,0.8699719023,0.8405189674,0.8504835879,0.8682564186,0.8745166108,0.7525004579
M2,0.8470041451,0.8620472796,0.8509665438,0.8900858523,0.6882378087,0.8746618442
