prey,predator,prey_payoff,predator_payoff
D,D,0.7475443510,1.1070746951
N,N,0.7921833574,1.0746424459
P1,P1,0.7568116277,1.0997887892
D,M2,0.7382930005,1.1146905959
N,M2,0.7399977786,1.0969141140
D,M1,0.7570415145,1.1042937691
D,P1,0.7443587534,1.1107475871
D,P2,0.7529854877,1.1073792841
N,M1,0.7663222492,1.0868659648
P1,D,0.6792513742,1.1369340306
P1,N,0.7919505627,1.0857937733
N,P1,0.7258738664,1.1042565673
N,P2,0.7826199724,1.0783094085
N,D,0.5890238475,1.1714739396
D,N,0.7401424841,1.1169568915
P1,P2,0.7719754727,1.0938866331
P1,M1,0.7522779571,1.1042074373
P1,M2,0.7465933867,1.1048377473
P2,P2,0.7757861005,1.0851880938
P2,D,0.7031039494,1.1184641614
M1,M1,0.7658598108,1.0928349424
P2,N,0.7854764200,1.0822893543
M1,N,0.7903080584,1.0823241178
P2,M2,0.7258835316,1.1085829206
M1,D,0.6760156433,1.1365629904
P2,M1,0.7714198168,1.0867951385
M1,P1,0.7168438077,1.1156450388
M1,P2,0.7560766740,1.0978472374
M2,D,0.7063364321,1.1189327300
M2,N,0.7869301948,1.0858730923
P2,P1,0.7557042112,1.0931609115
M1,M2,0.6559622294,1.1461725092
M2,M2,0.7666936936,1.0921771932
M2,P1,0.7637871332,1.0931099473
M2,P2,0.7649819913,1.0950872557
M2,M1,0.7233399428,1.1170919615
