prey,predator,payoff
N,N,0.8498825167
D,D,0.7416445235
P1,P1,0.9454689666
D,M1,0.8800657577
D,P2,0.9278707682
P1,N,0.7470650269
D,M2,0.9381527443
N,M2,0.9441329821
D,P1,0.8991644469
N,P1,0.9427822554
N,P2,0.9271110666
N,M1,0.9310354737
P1,D,0.7310225922
D,N,0.6335926438
N,D,0.6995842406
P1,P2,0.9198475661
P1,M1,0.9374415958
P1,M2,0.9388078348
P2,P2,0.9393902224
P2,D,0.8039580430
M1,M1,0.9411604109
P2,N,0.7549972629
M1,N,0.7418070051
P2,M2,0.9480408017
M1,D,0.7386366891
M1,P1,0.9463217496
M1,P2,0.9247124749
P2,M1,0.8429295031
P2,P1,0.8770358675
M2,D,0.7948454946
M2,N,0.7590316019
M1,M2,0.9407774418
M2,M2,0.9428322008
M2,P2,0.9307520185
M2,P1,0.8611516109
M2,M1,0.8320038401
