Prey / Predator,D,N,P1,P2,M1,M2
D,1.0398713219,1.0830990712,1.0600388901,1.0711386340,1.0546940713,1.0796078648
N,1.0565461123,1.0269598566,1.0538508983,1.0411384505,1.0488877378,1.0461253383
P1,1.0593351858,1.0268642366,1.0603279434,1.1382202503,1.0514497080,1.1582582012
P2,1.0249476818,1.0344818173,1.0402695361,1.0453616204,1.0323796292,1.0569676090
M1,1.0593346131,1.0343879186,1.0641130909,1.1512998103,1.0526897266,1.1870680852
M2,1.0249538588,1.0268830552,1.0391869192,1.0440376386,1.0376949126,1.0530135668
