Prey / Predator,D,N,P1,P2,M1,M2
D,0.8361139742,0.7921044762,0.8312640983,0.8375853731,0.8275354746,0.8426058637
N,0.8342165147,0.7927072617,0.8435925952,0.8270526795,0.8319553325,0.8388081856
P1,0.8334875381,0.7932343878,0.8361019430,0.8468425851,0.8294840390,0.8595523511
P2,0.8318592134,0.7911589414,0.8308734381,0.8276513640,0.8278159194,0.8335343323
M1,0.8333899416,0.7911322890,0.8375264275,0.8540938161,0.8317544038,0.8653359721
M2,0.8320294675,0.7932425684,0.8314104294,0.8252157829,0.8282089418,0.8320105101
