prey,predator,payoff
N,N,0.9936094237
D,D,0.9988725850
P1,P1,0.9988223262
D,M2,0.9988502122
N,M2,0.9981966645
P1,D,0.9108241227
D,P2,0.9987490509
D,P1,0.9968261554
N,P1,0.9991496616
D,M1,0.9958630013
N,M1,0.9817555454
P1,N,0.9911143306
N,P2,0.9759690031
N,D,0.8983677767
P1,P2,0.9889587835
D,N,0.9915200777
P1,M2,0.9953730279
P1,M1,0.9980562447
P2,D,0.9932151109
P2,P2,0.9980844513
M1,M1,0.9988982654
P2,M1,0.9569228500
P2,N,0.9914598831
M1,D,0.9473162699
M1,P1,0.9990344572
P2,M2,0.9988054585
M1,N,0.9876270687
M1,P2,0.9957621270
M2,D,0.9914521942
P2,P1,0.9876065133
M2,N,0.9937053450
M1,M2,0.9774646823
M2,M2,0.9980237091
M2,P1,0.9689876947
M2,P2,0.9969385633
M2,M1,0.7937599329
