prey,predator,prey_payoff,predator_payoff
D,D,1.0678446923,0.8632708777
N,N,1.1252013164,0.8226077376
P1,P1,1.1139848273,0.8418436724
N,M2,1.0692850557,0.8414166009
D,M2,1.0155563655,0.8924660283
N,M1,1.0815070615,0.8392481678
N,P2,1.0924417848,0.8348214641
N,P1,1.0584914829,0.8457862685
P1,D,0.9692879643,0.8859901662
D,P2,1.0352751110,0.8843004445
D,P1,1.0962544327,0.8547623728
P1,N,1.1454243666,0.8344968916
D,M1,1.1026404810,0.8525156526
N,D,1.0117296424,0.8600999986
D,N,1.0392022057,0.8858480133
P1,P2,0.9902991218,0.8919333379
P1,M2,0.9976995187,0.8872311112
P2,P2,1.1078445256,0.8336643241
P1,M1,1.1299968331,0.8369484538
P2,D,1.0755208879,0.8422991901
M1,M1,1.1116445509,0.8374489292
P2,M1,1.1159154395,0.8301135445
P2,N,1.1117295471,0.8348639497
M1,P1,1.0877083144,0.8449706338
P2,M2,1.0835326739,0.8413454064
M1,D,0.9577154261,0.8859913380
M1,N,1.1265741554,0.8343155021
M1,P2,0.9984265930,0.8826357982
M2,D,1.0886930961,0.8422993710
P2,P1,1.1023843496,0.8343137657
M2,N,1.1316654116,0.8345841054
M1,M2,1.0170642884,0.8728172468
M2,M2,1.1101682259,0.8380757857
M2,P2,1.1263391590,0.8331206695
M2,P1,1.1209378080,0.8336701648
M2,M1,1.1281938046,0.8316704367
