Prey / Predator,D,N,P1,P2,M1,M2
D,0.8803410011,0.9876529454,0.8617016487,0.8348977644,0.8722153475,0.8191385141
N,0.9114762673,0.9572994951,0.8058619209,0.8693410299,0.8514452867,0.8198561254
P1,0.8463733669,0.9811614904,0.8357533128,0.7636236004,0.8705516947,0.6795134164
P2,0.8430864846,0.9707075721,0.8629295255,0.8540416339,0.8568211835,0.8287023681
M1,0.8411842201,0.9767158390,0.8198115787,0.6888847349,0.8449843026,0.6338000509
M2,0.8481836181,0.9751680669,0.8542371702,0.8797993368,0.8330260051,0.8448024212
