prey,predator,payoff
D,D,0.8752997074
N,N,0.9260593820
P1,P1,0.9145271286
N,M2,0.9182790033
D,M2,0.9164514450
D,P1,0.8849812842
N,P1,0.9367025051
D,P2,0.8999458589
P1,N,0.9000191091
N,M1,0.9402310338
N,P2,0.9280303718
D,M1,0.8514738528
P1,D,0.9222417558
N,D,0.9369558145
D,N,0.9222197552
P1,P2,0.9086090324
P1,M2,0.9106930680
P1,M1,0.9044124415
P2,P2,0.9067621947
P2,D,0.9017937919
M1,M1,0.9056694691
P2,N,0.9038229841
M1,P2,0.9104404268
P2,M2,0.9130781000
M1,N,0.8726968543
M1,D,0.9335567865
P2,M1,0.9020746045
M1,P1,0.9149319165
M2,D,0.8874807807
M2,N,0.9255543587
P2,P1,0.9072514540
M1,M2,0.9232522268
M2,M2,0.9147459771
M2,P1,0.9147544457
M2,P2,0.9056177418
M2,M1,0.9075317243
