prey,predator,prey_payoff,predator_payoff
D,D,1.1164626288,0.8473756244
N,N,1.1365637575,0.8197464781
P1,P1,1.1289829813,0.8381420976
D,M2,1.1288030828,0.8477515407
D,P2,1.1403877848,0.8431677134
N,M2,1.0850160871,0.8356801496
N,P2,1.1104184244,0.8275250202
P1,N,1.1634684353,0.8297210649
D,M1,1.1605506752,0.8320496931
P1,D,1.0968958886,0.8463516034
N,P1,1.0760338304,0.8392802199
D,P1,1.1508941662,0.8360515208
N,M1,1.1007625984,0.8313508510
N,D,1.0722762616,0.8368027646
D,N,1.1498441081,0.8429555981
P1,P2,1.0757226676,0.8613018305
P1,M1,1.1450318249,0.8327297785
P1,M2,1.0423992828,0.8733046374
P2,D,1.0865407439,0.8391643759
P2,P2,1.1222324558,0.8298981991
M1,M1,1.1258882793,0.8338936284
P2,N,1.1334629939,0.8285722037
P2,M2,1.1064135489,0.8351210680
M1,N,1.1476350998,0.8283741208
P2,M1,1.1266619298,0.8266854670
M1,D,1.0837580218,0.8463545661
M1,P2,1.0418326557,0.8687598952
M1,P1,1.1104921848,0.8389262119
P2,P1,1.1206618159,0.8284120230
M2,N,1.1492986607,0.8299043257
M2,D,1.0998383843,0.8391720778
M1,M2,1.0056352057,0.8815869509
M2,M2,1.1252949857,0.8341695832
M2,P1,1.1312925478,0.8305511980
M2,P2,1.1417671098,0.8285613553
M2,M1,1.1352790059,0.8294466639
