Prey / Predator,D,N,P1,P2,M1,M2
D,0.8481308212,0.8373527436,0.8472222653,0.8416843830,0.8430260318,0.8468760179
N,0.8442123630,0.8299256020,0.8391675768,0.8363142567,0.8407484686,0.8354677234
P1,0.8502240464,0.8348688936,0.8432040733,0.8403882768,0.8431088259,0.8434317247
P2,0.8407218361,0.8315268723,0.8398698719,0.8349961243,0.8406480202,0.8387340685
M1,0.8502373738,0.8313066402,0.8422097226,0.8386729692,0.8389119941,0.8448557509
M2,0.8407106451,0.8350011999,0.8444223215,0.8389609884,0.8506646159,0.8393243812
