prey,predator,payoff
N,N,0.9931047685
D,D,0.8031148673
P1,P1,0.9748660670
N,M2,0.9742590750
N,P1,0.9667537400
P1,N,0.7379629603
D,P1,0.7208971428
N,M1,0.9614370194
D,M2,0.9193365885
P1,D,0.8211264610
N,P2,0.9688558504
D,P2,0.9170907690
D,M1,0.6937042911
N,D,0.4962978131
P1,P2,0.9364421479
P1,M1,0.9711968800
P2,P2,0.9723599519
P1,M2,0.9628011443
M1,M1,0.9693152008
P2,D,0.8719863810
P2,N,0.7441414151
P2,M2,0.9757166359
M1,N,0.6703056279
M1,D,0.8273283081
M1,P1,0.9725365771
M1,P2,0.9490239809
P2,M1,0.8796590881
P2,P1,0.9040749233
M2,D,0.8839120754
M1,M2,0.9602349070
M2,M2,0.9778837388
M2,P2,0.9740685077
M2,N,0.8114403248
M2,P1,0.9360418060
M2,M1,0.9165893685
D,N,0.3448649409
