prey,predator,prey_payoff,predator_payoff
D,D,1.1137932405,0.8477776550
N,N,1.1047993428,0.8291179072
P1,P1,1.1148361191,0.8417485428
N,M2,1.0914880676,0.8311907208
D,M2,1.1160395615,0.8494390821
D,P2,1.1320852436,0.8431497704
D,M1,1.1114554472,0.8481413098
P1,D,1.0865444445,0.8504871224
D,P1,1.1002835721,0.8524734785
N,P2,1.0894154723,0.8342440761
N,P1,1.0826272294,0.8347375269
P1,N,1.1390779381,0.8349278912
N,M1,1.0780864725,0.8386112171
D,N,1.1362961978,0.8406322408
N,D,1.0626932817,0.8404965471
P1,P2,1.1354355913,0.8357940156
P1,M1,1.1148162794,0.8423891758
P1,M2,1.1220601461,0.8400622500
P2,P2,1.1091905028,0.8333823369
P2,D,1.0828650709,0.8401405583
M1,M1,1.1128994718,0.8372407562
P2,N,1.1181563854,0.8306131311
M1,D,1.0734236015,0.8505324620
P2,M2,1.0835830113,0.8413959869
M1,N,1.1316224324,0.8306709374
M1,P1,1.0882250820,0.8448638441
P2,M1,1.0854618655,0.8408342897
M1,P2,1.1224247328,0.8346081676
M2,D,1.0964294898,0.8400355662
P2,P1,1.0794685716,0.8421466806
M2,N,1.1252256314,0.8350744141
M1,M2,1.0862539003,0.8459894003
M2,M2,1.1111191878,0.8379082450
M2,P2,1.1120369067,0.8383166208
M2,P1,1.0893600792,0.8446005786
M2,M1,1.0708478750,0.8513824437
