prey,predator,prey_payoff,predator_payoff
N,N,0.8480884268,1.0484222555
D,D,0.7889089624,1.0879920071
P1,P1,0.7902638716,1.0843850435
N,M2,0.7774848233,1.0791648738
D,M2,0.7922727055,1.0889725980
D,P2,0.8071765217,1.0813006532
D,M1,0.8215091099,1.0719209172
N,P1,0.7642652062,1.0860999709
N,P2,0.8077538246,1.0659702168
N,M1,0.7936315513,1.0733357169
D,P1,0.8087715533,1.0786228969
P1,N,0.8683533152,1.0491253684
P1,D,0.7555931738,1.0990904795
N,D,0.7263261353,1.1027286050
D,N,0.8625526826,1.0554426027
P1,P2,0.8069754721,1.0778625228
P1,M2,0.7694715120,1.0957585668
P2,P2,0.8090486266,1.0694279965
P1,M1,0.8130921777,1.0736237099
P2,D,0.7761525804,1.0832873013
M1,M1,0.7999901890,1.0768255428
P2,N,0.8549616406,1.0488884336
P2,M2,0.7774759391,1.0841850789
M1,N,0.8602820927,1.0488819114
M1,P2,0.7805189709,1.0877061207
M1,D,0.7511381466,1.0991156026
P2,M1,0.8059824591,1.0695072782
M1,P1,0.7688075460,1.0913335864
M2,D,0.7807752804,1.0832633140
M2,N,0.8629411891,1.0491742943
P2,P1,0.7857774780,1.0789996786
M1,M2,0.6969339532,1.1276393982
M2,M2,0.7992864838,1.0770147922
M2,P1,0.7972745937,1.0767550838
M2,P2,0.8225353744,1.0660052664
M2,M1,0.7942552052,1.0789647539
