Prey / Predator,D,N,P1,P2,M1,M2
D,1.0970574840,1.0568026875,1.1343654182,1.1062500454,1.1419875545,1.0910648783
N,1.0670366960,1.1253937421,1.0775696513,1.1053281751,1.0957822601,1.0866023364
P1,1.0301394047,1.1477491841,1.1240768460,1.0050328830,1.1384473158,0.9848467805
P2,1.0834539946,1.1076763799,1.1102392190,1.1171586269,1.1191352694,1.0996799969
M1,1.0178419441,1.1215029595,1.1041209745,0.9857561988,1.1212041098,0.9745167838
M2,1.0967634813,1.1338684333,1.1238675895,1.1346532727,1.1289041331,1.1199831735
