prey,predator,payoff
N,N,0.7646564444
D,D,0.6501911853
P1,P1,0.9265120368
D,M2,0.9344993227
D,P1,0.9147500710
P1,N,0.7545786085
N,M2,0.9254095352
D,P2,0.9175381810
D,M1,0.9009309425
P1,D,0.6322453867
N,P2,0.8911118866
N,M1,0.9060543039
N,P1,0.9251467795
D,N,0.7485371859
N,D,0.7162598336
P1,P2,0.9103232760
P1,M1,0.9160919468
P2,P2,0.9218530284
P1,M2,0.9290309513
M1,M1,0.9216948094
P2,D,0.7364613339
P2,N,0.7611650382
P2,M2,0.9333887664
M1,N,0.7629036240
M1,P1,0.9278748195
M1,D,0.6441686590
P2,M1,0.8933146733
M1,P2,0.9170469179
M2,D,0.7248815316
M2,N,0.7503445066
P2,P1,0.9181572085
M1,M2,0.9327153697
M2,M2,0.9251733883
M2,P1,0.8971911090
M2,P2,0.9066690581
M2,M1,0.8646959702
