prey,predator,prey_payoff,predator_payoff
D,D,0.8633706911,1.0467184126
D,P1,0.8395652647,1.0607103002
D,P2,0.8625500001,1.0523013399
D,N,0.7060113654,1.1397470348
D,M1,0.8549270111,1.0524564353
N,N,0.8306478841,1.0565085945
D,M2,0.8528471796,1.0570966190
N,D,0.8132678554,1.0627261360
N,P1,0.8100564568,1.0655645282
N,P2,0.8382090024,1.0523217215
N,M1,0.8263279591,1.0585377366
N,M2,0.8227243848,1.0588571679
P1,D,0.9062444089,1.0221542578
P1,P1,0.9535932609,1.0008795089
P1,N,0.9975999639,0.9809317766
P1,P2,0.9548207614,1.0010490867
P1,M1,0.9436255824,1.0074872608
P1,M2,0.9568473739,0.9988559455
P2,D,0.8702884566,1.0377041004
P2,N,0.9610079529,0.9904576949
P2,P2,0.9636101454,0.9889041200
P2,M1,0.9389560545,1.0033132720
P2,P1,0.8464522534,1.0483822979
P2,M2,0.9141725382,1.0119960338
M1,D,0.9009272330,1.0221522212
M1,N,0.9672088327,0.9902716786
M1,P1,0.9147458952,1.0147351018
M1,P2,0.9597105266,0.9941379083
M1,M1,0.9617594340,0.9930772213
M2,D,0.8754732470,1.0376919606
M1,M2,0.9485145162,0.9973870735
M2,N,0.9904682384,0.9815138582
M2,P1,0.9371156542,1.0072823155
M2,P2,0.9464370580,1.0028915465
M2,M2,0.9555544900,0.9966203018
M2,M1,0.9394712458,1.0070786428
