Prey / Predator,D,N,P1,P2,M1,M2
D,0.8633706911,0.7060113654,0.8395652647,0.8625500001,0.8549270111,0.8528471796
N,0.8132678554,0.8306478841,0.8100564568,0.8382090024,0.8263279591,0.8227243848
P1,0.9062444089,0.9975999639,0.9535932609,0.9548207614,0.9436255824,0.9568473739
P2,0.8702884566,0.9610079529,0.8464522534,0.9636101454,0.9389560545,0.9141725382
M1,0.9009272330,0.9672088327,0.9147458952,0.9597105266,0.9617594340,0.9485145162
M2,0.8754732470,0.9904682384,0.9371156542,0.9464370580,0.9394712458,0.9555544900
