prey,predator,payoff
D,D,0.9005143481
N,N,0.9304395680
P1,P1,0.9128970440
N,M2,0.8863733095
D,M2,0.9183155383
N,M1,0.9192643424
P1,N,0.9216514492
N,P1,0.9121642440
N,P2,0.8992745473
D,M1,0.8824781519
P1,D,0.8916708719
D,P2,0.9034581188
D,P1,0.9055561984
D,N,0.9030610142
N,D,0.8881193950
P1,P2,0.8960847264
P1,M2,0.8954883411
P1,M1,0.9037674655
P2,P2,0.9083541901
P2,D,0.9014295783
M1,M1,0.9105478275
P2,N,0.9206843186
P2,M1,0.9022722732
M1,N,0.9010472923
M1,D,0.9124979394
P2,M2,0.9056598117
M1,P1,0.9112595121
M1,P2,0.8953185259
M2,N,0.9366247329
M2,D,0.8787418253
P2,P1,0.9076982190
M1,M2,0.8898397298
M2,M2,0.9096511576
M2,P1,0.9074445902
M2,P2,0.9013184632
M2,M1,0.8988587090
