Prey / Predator,D,N,P1,P2,M1,M2
D,1.0434088848,1.1234465053,1.0553414226,1.0394712433,1.0463765509,1.0439308142
N,1.0517586404,1.0124713112,1.0293420295,1.0316357632,1.0420291469,1.0251377893
P1,1.0181466126,0.9667538261,0.9986102021,0.9975452988,0.9950872819,1.0046474128
P2,1.0345497344,0.9956596570,1.0413500984,0.9885169216,1.0024888758,1.0089053519
M1,1.0181524194,0.9952875262,1.0114438658,1.0000811321,0.9921932093,1.0210423777
M2,1.0345273776,0.9669649091,1.0063221677,0.9902360803,1.0127409712,0.9951922978
