prey,predator,prey_payoff,predator_payoff
D,D,1.1114917835,0.8484574190
N,N,1.1068303510,0.8294550816
P1,P1,1.1122497043,0.8432257758
N,P2,1.0856136999,0.8361076592
N,M2,1.0757543332,0.8380409304
D,M2,1.1267030553,0.8467307429
D,P1,1.1235510948,0.8452824172
D,M1,1.1339044097,0.8411619383
D,P2,1.1395780101,0.8417146489
P1,D,1.0866772606,0.8507332711
N,P1,1.0657118644,0.8420167241
P1,N,1.1437686128,0.8343295117
N,M1,1.0738116245,0.8405811025
N,D,1.0523437478,0.8446363585
D,N,1.1550372067,0.8366932166
P1,P2,1.1235227334,0.8408828369
P1,M2,1.1066847921,0.8463986295
P2,P2,1.1064264818,0.8349818016
P1,M1,1.1191096569,0.8412247714
M1,M1,1.1096467085,0.8389600488
P2,D,1.0808301191,0.8409934880
P2,N,1.1170116625,0.8321422242
P2,M2,1.0924225665,0.8392225735
M1,D,1.0736616235,0.8507137622
M1,N,1.1310351746,0.8319513408
M1,P1,1.0966509904,0.8428272818
P2,M1,1.0879470174,0.8404726229
M1,P2,1.1054957430,0.8417117780
M2,D,1.0941500685,0.8409837006
P2,P1,1.0864413154,0.8404407558
M2,N,1.1298771989,0.8344670609
M1,M2,1.0865964828,0.8474598283
M2,M2,1.1089763462,0.8392855447
M2,P1,1.0919018146,0.8442463731
M2,P2,1.1166496135,0.8370516787
M2,M1,1.0801941372,0.8484564697
