prey,predator,prey_payoff,predator_payoff
P1,P1,1.1385952684,0.8361019430
N,N,1.2020437649,0.7927072617
D,D,1.1541399046,0.8361139742
P1,D,1.1431568863,0.8334875381
D,M2,1.1483712053,0.8426058637
N,M2,1.0837366205,0.8388081856
D,P2,1.1604080824,0.8375853731
D,P1,1.1665777348,0.8312640983
P1,N,1.2511066995,0.7932343878
D,M1,1.1755885571,0.8275354746
N,P2,1.1158119658,0.8270526795
N,M1,1.1041672650,0.8319553325
N,P1,1.0725432155,0.8435925952
D,N,1.2723247552,0.7921044762
N,D,1.0961787680,0.8342165147
P1,P2,1.1206876562,0.8468425851
P1,M1,1.1565945886,0.8294840390
P1,M2,1.0884986627,0.8595523511
P2,D,1.1160162142,0.8318592134
P2,P2,1.1316794332,0.8276513640
M1,M1,1.1353921503,0.8317544038
P2,N,1.2234341996,0.7911589414
P2,M2,1.1154194401,0.8335343323
M1,N,1.2382915579,0.7911322890
M1,D,1.1297880270,0.8333899416
M1,P1,1.1193740527,0.8375264275
P2,M1,1.1276547232,0.8278159194
M1,P2,1.0886656703,0.8540938161
M2,D,1.1291939555,0.8320294675
P2,P1,1.1185440145,0.8308734381
M2,N,1.2363243359,0.7932425684
M1,M2,1.0597895048,0.8653359721
M2,M2,1.1348518117,0.8320105101
M2,P1,1.1327790245,0.8314104294
M2,P2,1.1532111945,0.8252157829
M2,M1,1.1421032017,0.8282089418
