Finished full day, t_sunset=1, w=0
Finished full day, t_sunset=1, w=0.5
Finished full day, t_sunset=1, w=1
Finished half day / half night, t_sunset=0.5, w=0
Finished half day / half night, t_sunset=0.5, w=0.5
Finished half day / half night, t_sunset=0.5, w=1
Finished full night, t_sunset=0, w=0
Finished full night, t_sunset=0, w=0.5
Finished full night, t_sunset=0, w=1
Saved heatmap to /home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/figures/basic_simulation/activity_const_heatmaps.png
