prey,predator,payoff
D,D,0.9328653213
N,N,0.9915125743
P1,P1,0.9498580481
D,M2,0.9539343834
N,M2,0.9564131584
N,M1,0.9575427629
D,M1,0.8959191244
P1,D,0.9319379290
N,P2,0.9561342566
N,P1,0.9578640962
D,P2,0.9455396506
D,P1,0.9144942068
P1,N,0.9723054638
D,N,0.8932435374
N,D,0.8332673881
P1,P2,0.9505676356
P2,P2,0.9507192796
P1,M2,0.9600381036
P1,M1,0.9421908416
P2,D,0.9260347378
M1,M1,0.9440581838
P2,N,0.9761395881
M1,D,0.9362197756
P2,M2,0.9572884952
M1,N,0.9734056878
P2,M1,0.9437135479
M1,P1,0.9505940121
M1,P2,0.9576534812
M2,D,0.9192273601
M2,N,0.9737984898
P2,P1,0.9502884809
M1,M2,0.9693909259
M2,M2,0.9561391711
M2,P2,0.9484535473
M2,P1,0.9553897410
M2,M1,0.9470896757
