Prey / Predator,D,N,P1,P2,M1,M2
D,0.7651478012,0.3627451255,0.6609450868,0.7119060599,0.6838215674,0.6952420527
N,0.6273475492,0.7874061520,0.6762327995,0.7357394427,0.7211419076,0.6904332635
P1,0.6621334877,0.8174296870,0.7454155146,0.5840318597,0.7734255331,0.4709118620
P2,0.7489189551,0.5478237129,0.5033674855,0.7652339501,0.7350183394,0.6973303303
M1,0.6583315476,0.5511005022,0.6907796895,0.4822203137,0.7566278431,0.2850657636
M2,0.7533379616,0.8125812904,0.7232958690,0.7823945955,0.7730551839,0.7539836086
