prey,predator,prey_payoff,predator_payoff
D,D,0.7651478012,1.0988405833
N,N,0.7874061520,1.0780140371
P1,P1,0.7454155146,1.1060307546
N,M2,0.6904332635,1.1218199874
N,P2,0.7357394427,1.1022053678
N,M1,0.7211419076,1.1096338866
P1,D,0.6621334877,1.1463327427
N,P1,0.6762327995,1.1290293926
D,M1,0.6838215674,1.1419496847
D,P1,0.6609450868,1.1539493164
N,D,0.6273475492,1.1506374889
P1,M1,0.7734255331,1.0929472783
P2,D,0.7489189551,1.0960577846
P2,P2,0.7652339501,1.0910029355
P2,M2,0.6973303303,1.1238606358
M1,D,0.6583315476,1.1463340905
P2,M1,0.7350183394,1.1061491340
M1,P1,0.6907796895,1.1295550890
P2,P1,0.5033674855,1.2219153815
M1,M1,0.7566278431,1.0978858461
M2,D,0.7533379616,1.0960566548
M2,P1,0.7232958690,1.1145725923
M2,P2,0.7823945955,1.0858389955
M2,M2,0.7539836086,1.0991762758
M2,M1,0.7730551839,1.0896556072
P1,N,0.8174296870,1.0739518421
D,M2,0.6952420527,1.1362959606
P1,M2,0.4709118620,1.2436947513
P1,P2,0.5840318597,1.1872941087
P2,N,0.5478237129,1.2087129366
M1,M2,0.2850657636,1.3238051160
M1,N,0.5511005022,1.2088611750
M2,N,0.8125812904,1.0738584583
D,P2,0.7119060599,1.1280000265
M1,P2,0.4822203137,1.2368962731
D,N,0.3627451255,1.3075184690
