prey,predator,payoff
N,N,0.9953837905
D,D,0.9422478528
P1,P1,0.9621645815
N,M1,0.9274244556
D,P1,0.6893793164
N,M2,0.9299947024
D,M2,0.8771380461
N,P2,0.9353034086
P1,D,0.9667638959
N,P1,0.9211277032
D,M1,0.6337629458
D,P2,0.8598420206
P1,N,0.9323686477
N,D,0.7561860236
D,N,0.3654595772
P1,P2,0.9169757715
P2,P2,0.9622673623
P1,M1,0.9546858022
P1,M2,0.9158743782
P2,D,0.9445598984
M1,M1,0.9524146165
P2,N,0.9372760934
P2,M2,0.9733669291
M1,P1,0.9649533626
M1,N,0.8978780702
M1,D,0.9666654560
P2,M1,0.8580504690
M1,P2,0.9001574463
P2,P1,0.8932588873
M2,D,0.9496803204
M2,N,0.9611463264
M1,M2,0.8981805128
M2,M2,0.9717378178
M2,P2,0.9645547121
M2,P1,0.9075280939
M2,M1,0.8895420872
