prey,predator,prey_payoff,predator_payoff
N,N,1.1094319753,0.8283641952
D,D,1.0883209407,0.8568482864
P1,P1,1.1172973815,0.8408971515
N,M2,1.0816765480,0.8348665953
D,M2,1.0489305741,0.8779267899
N,P1,1.0727762788,0.8383043108
D,P1,1.0920944361,0.8556389683
N,P2,1.0972672522,0.8314919097
P1,N,1.1534383173,0.8302632860
D,P2,1.0714159583,0.8688705081
P1,D,1.0296444879,0.8667808272
N,M1,1.0876085017,0.8351931512
D,M1,1.0997468808,0.8529971433
N,D,1.0560226805,0.8413766662
D,N,1.1056768480,0.8552661602
P1,P2,1.1284771991,0.8386783756
P1,M2,1.1075527071,0.8454035913
P1,M1,1.1330376231,0.8360301255
P2,P2,1.1116330489,0.8324527552
P2,D,1.0780368076,0.8414314396
M1,M1,1.1155283363,0.8362941087
M1,D,1.0173312603,0.8667853208
M1,N,1.1446422849,0.8261068606
P2,N,1.1308110760,0.8261281108
P2,M2,1.0804931747,0.8422616506
P2,M1,1.0958605332,0.8370415599
M1,P2,1.1076103410,0.8402538225
M1,P1,1.0851248785,0.8457663280
M2,N,1.1387017349,0.8307057577
M2,D,1.0913807166,0.8413799739
P2,P1,1.0781940511,0.8425314057
M1,M2,1.0701967141,0.8518975934
M2,M2,1.1133949330,0.8370706850
M2,P1,1.1000193632,0.8408226005
M2,P2,1.1294605166,0.8320827254
M2,M1,1.1047030549,0.8395099138
