Prey / Predator,D,N,P1,P2,M1,M2
D,0.8414994735,0.8170052650,0.8311332719,0.8432708391,0.8278867995,0.8486116900
N,0.8212602475,0.8051927422,0.8358960684,0.8237650852,0.8278075116,0.8319248667
P1,0.8398535207,0.8093114031,0.8357794075,0.8636019745,0.8301680445,0.8762552189
P2,0.8334314875,0.8080126623,0.8219641808,0.8274943914,0.8206701186,0.8327213195
M1,0.8398687178,0.8080106795,0.8365002062,0.8711308818,0.8313850563,0.8814334082
M2,0.8334798113,0.8093107676,0.8244621945,0.8261462049,0.8236299350,0.8318946237
