Prey / Predator,D,N,P1,P2,M1,M2
D,1.0398189773,1.0364741661,1.0485803029,1.0262894166,1.0396150105,1.0327009549
N,1.1515872517,1.0200606661,1.0637513653,1.0285473075,1.0356552979,1.0544935073
P1,1.0404492276,1.0215069670,1.0346869486,1.0235044412,1.0396112886,1.0289106902
P2,1.0724271609,1.0181082018,1.0610901551,1.0252389188,1.0353677648,1.0303933161
M1,1.0407778523,1.0178557941,1.0343264630,1.0231534337,1.0299068738,1.0482064314
M2,1.0722415942,1.0216217346,1.0397044311,1.0349328545,1.1358189285,1.0301866928
