prey,predator,prey_payoff,predator_payoff
D,D,0.7817699326,1.0914563499
N,N,0.7800748549,1.0799488381
P1,P1,0.7673867473,1.0956925041
N,M2,0.7260879507,1.1029441497
P1,N,0.7554959357,1.1051439784
N,P1,0.7124529947,1.1099219363
D,M2,0.7546847518,1.1070568638
D,M1,0.6568057953,1.1574787749
N,P2,0.7596561912,1.0890897249
D,P2,0.7687810492,1.0999407933
D,P1,0.6345610956,1.1687992997
P1,D,0.7262522136,1.1155578629
N,M1,0.7453183835,1.0963979312
N,D,0.6748888231,1.1264415522
D,N,0.2868747080,1.3417978314
P1,P2,0.6144473534,1.1742381318
P1,M2,0.4668631943,1.2504467739
P1,M1,0.7859542610,1.0871655763
P2,P2,0.7868972356,1.0805918941
P2,D,0.7482808283,1.0960949915
M1,M1,0.7782041898,1.0876844671
M1,P2,0.4796038747,1.2428272393
M1,D,0.7219612106,1.1156110153
P2,N,0.5046124330,1.2281257532
P2,M2,0.7483858182,1.0993341274
P2,M1,0.6969795149,1.1256260137
M1,N,0.5079589348,1.2281216301
M1,P1,0.7412659892,1.1055128393
M2,D,0.7526972523,1.0960933442
P2,P1,0.4367685032,1.2552593030
M2,N,0.7509843767,1.1050814030
M1,M2,0.2641164269,1.3384138329
M2,M2,0.7760261841,1.0886376411
M2,P2,0.7950656078,1.0798435879
M2,P1,0.6834489147,1.1348171830
M2,M1,0.7595660848,1.0963424942
