prey,predator,prey_payoff,predator_payoff
N,N,1.1798831956,0.8013157055
D,D,1.1257466649,0.8436833810
P1,P1,1.1443867278,0.8330833914
D,M2,1.1209214770,0.8529532232
D,M1,1.1771145803,0.8252292603
D,P1,1.1704740411,0.8279689502
D,P2,1.1332721991,0.8477206392
N,M2,1.1149764181,0.8257329212
P1,N,1.2448796499,0.7955108877
P1,D,1.1394016616,0.8319568926
N,M1,1.1235954665,0.8240565732
N,P2,1.1331937268,0.8199691538
N,P1,1.1055165476,0.8298071317
D,N,1.2739750938,0.7916608643
P1,P2,1.0154426822,0.8890914097
N,D,1.1186928540,0.8189490364
P1,M1,1.1600638279,0.8276557692
P1,M2,0.9815700083,0.9020103238
P2,P2,1.1369108793,0.8247778490
P2,D,1.1257761276,0.8275078339
M1,M1,1.1412607148,0.8286153652
P2,N,1.2235564247,0.7911403745
P2,M2,1.1221355329,0.8298538188
M1,D,1.1255817872,0.8320999471
M1,N,1.2383824371,0.7911259836
P2,M1,1.1574004633,0.8158330133
M1,P1,1.1266576894,0.8336258731
M1,P2,0.9837884242,0.8962282257
M2,N,1.2301639897,0.7955215529
M2,D,1.1399032444,0.8273732819
P2,P1,1.1538738719,0.8166744642
M1,M2,0.9547707957,0.9068240497
M2,M2,1.1400135388,0.8292520399
M2,P1,1.1623638957,0.8197950466
M2,P2,1.1558666547,0.8237531478
M2,M1,1.1654839751,0.8191922515
