prey,predator,prey_payoff,predator_payoff
N,N,0.7757595934,1.0819626114
D,D,0.7368476912,1.1119165795
P1,P1,0.7469167249,1.1043014705
D,M2,0.7148827316,1.1276357539
N,P2,0.7802409435,1.0789738192
N,M2,0.7083139373,1.1134972662
D,M1,0.7058366824,1.1306379001
D,P2,0.7346199196,1.1173992439
D,P1,0.6899241609,1.1387559159
N,P1,0.6926562252,1.1216465887
P1,D,0.6604853687,1.1469095657
P1,N,0.7439362442,1.1098623135
N,M1,0.7658697076,1.0863985834
N,D,0.5804429927,1.1767795668
D,N,0.7174805920,1.1266151510
P1,P2,0.7541709884,1.1029429420
P1,M1,0.7016822591,1.1303986296
P1,M2,0.7440061995,1.1068469389
P2,P2,0.7657722509,1.0899051430
P2,D,0.6802707702,1.1302816475
M1,M1,0.7561391556,1.0973178992
P2,N,0.7660574129,1.0905477734
M1,N,0.7704360693,1.0907683971
M1,P2,0.7537486747,1.0997385971
P2,M2,0.6862294109,1.1294920952
M1,D,0.6574263974,1.1465179336
P2,M1,0.7709690044,1.0863302545
M1,P1,0.6781676318,1.1358519161
M2,D,0.6832934486,1.1307826406
P2,P1,0.7385464128,1.1014648046
M2,N,0.7397624072,1.1096248603
M1,M2,0.6695479710,1.1414182768
M2,M2,0.7565213717,1.0969157633
M2,P1,0.7619235914,1.0934452704
M2,P2,0.7138252642,1.1218209213
M2,M1,0.6564395863,1.1526985477
