prey,predator,prey_payoff,predator_payoff
D,D,1.1098830875,0.8492619442
N,N,1.1121471799,0.8285144507
P1,P1,1.1147077234,0.8429172173
P1,N,1.1479654121,0.8340391347
D,M2,1.1257217245,0.8481675403
N,M2,1.0646130833,0.8429839650
D,P1,1.1357015595,0.8413336248
P1,D,1.0881679206,0.8503184490
D,M1,1.1453627593,0.8374607500
N,P1,1.0539350698,0.8471928626
N,P2,1.0898145518,0.8349296733
D,P2,1.1381946628,0.8432455156
N,M1,1.0781249140,0.8394128927
P1,P2,1.1231802844,0.8417388326
D,N,1.1564544392,0.8376424407
N,D,1.0485730607,0.8464628031
P1,M2,1.0933691394,0.8525603689
P2,P2,1.1087464192,0.8346437942
P1,M1,1.1304093874,0.8375114426
P2,D,1.0772005343,0.8425650725
M1,M1,1.1117736825,0.8387392133
P2,N,1.1223358100,0.8311851012
M1,D,1.0751742975,0.8503064179
P2,M2,1.0897352446,0.8411295989
M1,N,1.1362466156,0.8310477090
M1,P2,1.0922106327,0.8479101809
P2,M1,1.0924350917,0.8392660594
M1,P1,1.0933478641,0.8449732555
M2,D,1.0906375676,0.8424689961
M2,N,1.1340575159,0.8341857713
P2,P1,1.0850546389,0.8415185586
M1,M2,1.0600741986,0.8593434275
M2,M2,1.1116229524,0.8388595895
M2,P1,1.0966586581,0.8429650562
M2,P2,1.1278376557,0.8332528729
M2,M1,1.0968620354,0.8429075917
