Prey / Predator,D,N,P1,P2,M1,M2
D,0.8568482864,0.8552661602,0.8556389683,0.8688705081,0.8529971433,0.8779267899
N,0.8413766662,0.8283641952,0.8383043108,0.8314919097,0.8351931512,0.8348665953
P1,0.8667808272,0.8302632860,0.8408971515,0.8386783756,0.8360301255,0.8454035913
P2,0.8414314396,0.8261281108,0.8425314057,0.8324527552,0.8370415599,0.8422616506
M1,0.8667853208,0.8261068606,0.8457663280,0.8402538225,0.8362941087,0.8518975934
M2,0.8413799739,0.8307057577,0.8408226005,0.8320827254,0.8395099138,0.8370706850
