Prey / Predator,D,N,P1,P2,M1,M2
D,0.7692659497,0.9913662313,0.8032586174,0.7875856312,0.8167643391,0.7726322035
N,0.7063004809,0.9532664733,0.7525135177,0.8030027316,0.7885413618,0.7665509958
P1,0.7055069630,0.9775842515,0.7727443330,0.7856878958,0.7989523861,0.7490843495
P2,0.7563661463,0.9702438569,0.7904104989,0.7920048404,0.8077103621,0.7676444357
M1,0.7015844407,0.9762680592,0.7582316958,0.7591819843,0.7823587214,0.7263394513
M2,0.7606594106,0.9716078784,0.7989057985,0.8088357246,0.8172929417,0.7823517445
