prey,predator,prey_payoff,predator_payoff
D,D,0.7692659497,1.0973249217
N,N,0.9532664733,0.9934588946
P1,P1,0.7727443330,1.0925698074
D,M1,0.8167643391,1.0741902019
D,M2,0.7726322035,1.0987177483
D,P2,0.7875856312,1.0909699028
P1,N,0.9775842515,0.9921621377
D,P1,0.8032586174,1.0813261391
N,M2,0.7665509958,1.0844881392
N,P1,0.7525135177,1.0917983502
P1,D,0.7055069630,1.1233672508
N,P2,0.8030027316,1.0682545226
N,M1,0.7885413618,1.0758049544
D,N,0.9913662313,0.9891472599
N,D,0.7063004809,1.1114424008
P1,P2,0.7856878958,1.0876559084
P1,M1,0.7989523861,1.0803594712
P1,M2,0.7490843495,1.1046470717
P2,P2,0.7920048404,1.0775879572
P2,D,0.7563661463,1.0926038527
M1,M1,0.7823587214,1.0851580199
P2,N,0.9702438569,0.9886290984
P2,M2,0.7676444357,1.0888503345
P2,M1,0.8077103621,1.0687702933
M1,P1,0.7582316958,1.0962567134
M1,N,0.9762680592,0.9886147941
M1,D,0.7015844407,1.1232707702
M1,P2,0.7591819843,1.0972214124
P2,P1,0.7904104989,1.0769137733
M2,D,0.7606594106,1.0926898287
M2,N,0.9716078784,0.9921657592
M1,M2,0.7263394513,1.1120882633
M2,M2,0.7823517445,1.0850307466
M2,P2,0.8088357246,1.0726248616
M2,P1,0.7989057985,1.0759982150
M2,M1,0.8172929417,1.0672690730
