Prey / Predator,D,N,P1,P2,M1,M2
D,0.8808593142,0.8532229819,0.8560796515,0.9064981239,0.8739349860,0.8947087885
N,0.6630352761,0.9208248881,0.8496028437,0.8981339509,0.8844808490,0.8629259624
P1,0.8818270856,0.9388158240,0.9000935400,0.9226848152,0.9059095510,0.9012193550
P2,0.8434975170,0.9103297755,0.8381530509,0.9078571742,0.8883570557,0.8847519809
M1,0.8763565494,0.9166157900,0.8839828485,0.9069212501,0.9048445962,0.8705937951
M2,0.8480473931,0.9328841496,0.8869968237,0.9099064581,0.7492194623,0.9027493090
