prey,predator,prey_payoff,predator_payoff
D,D,1.1531087228,0.8359733566
N,N,1.1993590538,0.7937410467
P1,P1,1.1415294656,0.8348197165
D,M2,1.1474455350,0.8428485961
D,P1,1.1700407993,0.8296015192
N,M2,1.0909412116,0.8357677099
D,M1,1.1784301616,0.8261555097
D,P2,1.1595416594,0.8377785678
P1,N,1.2502639767,0.7935408535
N,P1,1.0802294129,0.8403540754
N,M1,1.1096732940,0.8296849807
P1,D,1.1456610826,0.8318852311
N,P2,1.1207158567,0.8250312290
D,N,1.2732155201,0.7917882260
N,D,1.1010924053,0.8317187028
P1,P2,1.1075211029,0.8523075091
P1,M1,1.1587279984,0.8285845757
P1,M2,1.0745111818,0.8652873682
P2,P2,1.1343246412,0.8264516534
M1,M1,1.1383372126,0.8304364742
P2,D,1.1249484985,0.8280206083
P2,N,1.2237816813,0.7910244628
P2,M2,1.1187508000,0.8320063235
M1,N,1.2386347691,0.7910008434
M1,D,1.1322631835,0.8317825192
M1,P1,1.1229864108,0.8358922107
M1,P2,1.0751996529,0.8596637516
P2,M1,1.1375024010,0.8236614310
M2,D,1.1383849533,0.8281403829
M2,N,1.2354905270,0.7935494100
P2,P1,1.1306444856,0.8257953780
M1,M2,1.0454782078,0.8711629895
M2,M2,1.1374869341,0.8308451652
M2,P1,1.1431671364,0.8270910234
M2,P2,1.1550051738,0.8244576758
M2,M1,1.1501717010,0.8248659210
