prey,predator,payoff
D,D,0.8955256541
N,N,0.9739239510
P1,P1,0.9334307826
N,M2,0.9295278402
D,M2,0.9049083978
P1,N,0.9454921673
D,M1,0.9057560717
P1,D,0.9067573333
D,P1,0.9227830033
N,P1,0.9444374616
N,M1,0.9492930489
D,P2,0.8898659003
N,P2,0.9394645898
D,N,0.8952079693
N,D,0.8772665052
P1,P2,0.9134720250
P1,M2,0.9175521301
P1,M1,0.9272795458
P2,P2,0.9329361367
P2,D,0.8913525260
M1,M1,0.9287512342
M1,P2,0.9146743520
P2,N,0.9509152256
P2,M2,0.9316668725
M1,D,0.9192695948
M1,N,0.9332585133
P2,M1,0.9162356764
M1,P1,0.9282567971
M2,D,0.8795600223
P2,P1,0.9171536382
M2,N,0.9585928609
M1,M2,0.9031852752
M2,M2,0.9371071171
M2,P2,0.9315305351
M2,P1,0.9260994669
M2,M1,0.9242735939
