prey,predator,prey_payoff,predator_payoff
D,D,1.1352294181,0.8424357224
N,N,1.1731428661,0.8050360776
P1,P1,1.1347564639,0.8369910105
D,M2,1.1390592360,0.8455435123
N,M2,1.0865676176,0.8366071389
N,P2,1.1160467610,0.8262975457
D,P2,1.1516354598,0.8403064751
D,P1,1.1637351320,0.8316692205
N,M1,1.1056417031,0.8305876662
N,P1,1.0767238553,0.8407317681
D,M1,1.1718905303,0.8283704026
P1,N,1.2144406705,0.8091624102
P1,D,1.1181112372,0.8424223433
N,D,1.0896557275,0.8320884573
D,N,1.2231594821,0.8138623912
P1,P2,1.1080762195,0.8505498367
P1,M2,1.0750056449,0.8632171085
P1,M1,1.1520122683,0.8308455308
P2,P2,1.1276605823,0.8287330048
P2,D,1.0982820100,0.8373920003
M1,M1,1.1316548171,0.8326573320
M1,D,1.1049171263,0.8423752968
P2,N,1.1862702063,0.8073955459
P2,M1,1.1338730039,0.8246232010
M1,N,1.2006871072,0.8073936357
M1,P1,1.1158290648,0.8381587721
P2,M2,1.1114644960,0.8344051980
M1,P2,1.0745286469,0.8582336806
M2,D,1.1114684831,0.8374910533
P2,P1,1.1272841743,0.8265914048
M2,N,1.2000491646,0.8091607684
M1,M2,1.0453656647,0.8689566082
M2,M2,1.1307433443,0.8330735881
M2,P2,1.1484633106,0.8267101183
M2,P1,1.1394304553,0.8280601453
M2,M1,1.1451329813,0.8263970595
