Prey / Predator,D,N,P1,P2,M1,M2
D,1.1085646414,1.1213166829,1.1470991652,1.1289252916,1.1574995802,1.1160498438
N,1.0731611809,1.1281597313,1.0780211069,1.1087678816,1.0992724561,1.0869073612
P1,1.0688334757,1.1543720737,1.1284120506,1.0471169175,1.1431722147,1.0149980054
P2,1.0855108074,1.1208593948,1.1155882763,1.1213738861,1.1227037123,1.1059661593
M1,1.0563025115,1.1348963017,1.1103306034,1.0150076290,1.1252791770,0.9809927266
M2,1.0988351564,1.1401552167,1.1272746828,1.1395895173,1.1317883528,1.1244512581
