prey,predator,prey_payoff,predator_payoff
D,D,1.1520484928,0.8304035114
N,N,1.1049360466,0.8292348480
P1,P1,1.1184364244,0.8404990937
D,M2,1.0665580543,0.8672328964
N,M2,1.0811888050,0.8345131479
D,M1,1.0665269863,0.8653199303
D,P2,1.0876641980,0.8593373024
N,P2,1.0942229586,0.8323534976
N,P1,1.0723639991,0.8379086130
P1,D,1.0722002320,0.8540075199
N,M1,1.0845336748,0.8360338036
D,P1,1.0558787815,0.8690358548
P1,N,1.1527043403,0.8299683717
N,D,1.0544617631,0.8423229016
D,N,1.0652045786,0.8686336327
P1,P2,1.1426702365,0.8335423255
P1,M2,1.1230330874,0.8392516139
P1,M1,1.1333302103,0.8361090162
P2,P2,1.1129750368,0.8319509767
P2,D,1.0789791530,0.8414035186
M1,M1,1.1170621216,0.8358071214
P2,N,1.1186211095,0.8300278927
M1,P2,1.1232181932,0.8340165264
M1,D,1.0593324892,0.8540356922
M1,N,1.1330128149,0.8296383506
P2,M2,1.0686812197,0.8454944226
P2,M1,1.0821816509,0.8419948179
M1,P1,1.0737356485,0.8488503262
P2,P1,1.0546683038,0.8504971584
M2,D,1.0923828960,0.8413328095
M2,N,1.1388509586,0.8300671596
M1,M2,1.0714641214,0.8495355362
M2,M2,1.1142915144,0.8366830094
M2,P1,1.0858518826,0.8458256514
M2,P2,1.1297575335,0.8320715791
M2,M1,1.0896382783,0.8449996674
