Prey / Predator,D,N,P1,P2,M1,M2
D,1.0413018687,1.2031465650,1.0715897506,1.0620163729,1.0656042566,1.0700904030
N,1.0440973561,1.0383616286,1.0451054342,1.0306124056,1.0370691923,1.0393544999
P1,1.0471739136,1.0476805669,1.0478085694,1.1023670529,1.0392220845,1.1166730255
P2,1.0463299678,1.0931971644,1.0510294550,1.0331321643,1.0301208649,1.0487107611
M1,1.0471931370,1.0932903639,1.0548019403,1.1103843297,1.0400196233,1.1354685584
M2,1.0463111976,1.0477129676,1.0360716507,1.0320537861,1.0392121202,1.0409495412
