prey,predator,payoff
N,N,0.9956665747
D,D,0.9556030567
P1,P1,0.9610934855
N,M1,0.9630599039
N,M2,0.9641261724
D,M2,0.9468004454
D,P1,0.8607228452
D,P2,0.9406238952
P1,D,0.9430065095
P1,N,0.9696178325
N,P2,0.9646295501
D,M1,0.8390793265
N,P1,0.9624205198
D,N,0.5741362955
N,D,0.8069499781
P1,P2,0.9722614747
P2,P2,0.9616098312
P1,M2,0.9797382118
P1,M1,0.9553534938
P2,D,0.9350614593
M1,M1,0.9538661552
P2,N,0.9766838436
P2,M2,0.9673060206
M1,N,0.9724700563
M1,P2,0.9774164409
M1,D,0.9452779325
P2,M1,0.9278280598
M1,P1,0.9591604997
M2,D,0.9351147377
P2,P1,0.9378014498
M1,M2,0.9786841208
M2,N,0.9744181028
M2,M2,0.9685409231
M2,P2,0.9624367004
M2,P1,0.9498991762
M2,M1,0.9411027026
