Prey / Predator,D,N,P1,P2,M1,M2
D,1.0890520793,1.0942213735,1.0698928444,1.0762122866,1.0625258105,1.0846319456
N,1.0656871236,1.0484653963,1.0708501696,1.0534446660,1.0601320596,1.0647639764
P1,1.1073362289,1.0591777483,1.0700061386,1.1015928143,1.0613933171,1.1166665218
P2,1.0717130067,1.0608557521,1.0631475932,1.0556613888,1.0582612537,1.0658657201
M1,1.1073297467,1.0607693424,1.0725995186,1.1090985159,1.0627171177,1.1214846528
M2,1.0717186959,1.0592406265,1.0649976042,1.0541081678,1.0629097310,1.0629823311
