Prey / Predator,D,N,P1,P2,M1,M2
D,0.8799628242,0.7973253312,0.8602749485,0.9033340832,0.8715859437,0.8911372233
N,0.6666152345,0.9035322518,0.8390356320,0.8908194486,0.8768635675,0.8514985907
P1,0.8797250233,0.9260632051,0.8912784394,0.9121379616,0.8972396596,0.8881901595
P2,0.8415585489,0.9031165698,0.8366396842,0.9006733320,0.8800718531,0.8770736382
M1,0.8742777526,0.9095556945,0.8753847506,0.8950454760,0.8966612906,0.8631773790
M2,0.8461909288,0.9199271659,0.8779357174,0.9033576900,0.7093317972,0.8951138619
