prey,predator,payoff
D,D,0.8703984021
N,N,0.9609843480
P1,P1,0.9354981501
N,M2,0.9415543980
D,M2,0.8934122946
P1,D,0.9387187246
N,M1,0.9535502490
D,P2,0.8713216878
N,P2,0.9461790061
D,P1,0.8371905602
P1,N,0.9086542129
D,M1,0.7944894861
N,P1,0.9519570209
N,D,0.9416564377
D,N,0.8417054191
P1,P2,0.9170500359
P1,M2,0.9308576292
P1,M1,0.9252644825
P2,D,0.9072478844
P2,P2,0.9318501763
M1,M1,0.9248056762
P2,M2,0.9398395835
P2,N,0.9385476213
M1,N,0.9135300340
M1,D,0.9460942084
P2,M1,0.9076487339
M1,P2,0.9238577788
M1,P1,0.9338507354
M2,D,0.9029941344
P2,P1,0.9147689037
M2,N,0.9347712827
M1,M2,0.9401508376
M2,M2,0.9418953287
M2,P1,0.9260105740
M2,P2,0.9319427008
M2,M1,0.9163121101
