prey,predator,prey_payoff,predator_payoff
D,D,0.7796088208,1.0924465530
N,N,0.7841362561,1.0778649206
P1,P1,0.7706623367,1.0938442518
N,M2,0.7419434228,1.0950298662
D,M2,0.7768561642,1.0973474662
D,P1,0.7127071992,1.1264011118
D,M1,0.7290940449,1.1181294221
N,P1,0.7280835053,1.1022101754
P1,D,0.7207491671,1.1177842334
P1,N,0.7375587475,1.1145263866
N,M1,0.7487356178,1.0951894339
N,P2,0.7647378983,1.0868854237
D,P2,0.7933924506,1.0886850466
N,D,0.6808622582,1.1237848694
D,N,0.4027376551,1.2870092232
P1,P2,0.6660435140,1.1488216310
P1,M2,0.5531238522,1.2071698034
P1,M1,0.7809200789,1.0895154673
P2,P2,0.7896637083,1.0790192960
P2,D,0.7428394589,1.0987914592
M1,M1,0.7805585136,1.0863501192
P2,N,0.5901515544,1.1842024082
P2,M2,0.7427846140,1.1017242072
M1,D,0.7164921184,1.1178340082
P2,M1,0.7090903767,1.1192453829
M1,N,0.5941630344,1.1840992416
M1,P1,0.7351079703,1.1081882985
M1,P2,0.5673785435,1.1983450909
M2,D,0.7471935814,1.0988043594
P2,P1,0.5162266095,1.2160188311
M2,N,0.7333660924,1.1143445581
M1,M2,0.3622085345,1.2945491277
M2,M2,0.7797283697,1.0865437275
M2,P2,0.7901204196,1.0821681698
M2,P1,0.6964772110,1.1280027138
M2,M1,0.7185429574,1.1193375285
