Prey / Predator,D,N,P1,P2,M1,M2
D,1.0961461096,1.1794506138,1.1193098921,1.0949776680,1.1115119628,1.1047502980
N,1.1514899701,1.0792334224,1.1071599804,1.0845109279,1.0927560767,1.0997953787
P1,1.1211195979,1.1214004498,1.0948354476,1.1189471464,1.0958180378,1.1434842251
P2,1.1044033514,1.1257463700,1.1463130607,1.0802344169,1.0978839453,1.1043762354
M1,1.1210582858,1.1258206537,1.1108624054,1.1355232110,1.0876276752,1.2093635240
M2,1.1044631233,1.1211154076,1.1052173724,1.0887100043,1.1292946548,1.0874690462
