prey,predator,prey_payoff,predator_payoff
P1,P1,0.7679356746,1.0948354476
D,D,0.7714513145,1.0961461096
N,N,0.7813522050,1.0792334224
D,M2,0.7626363770,1.1047502980
P1,D,0.7140701157,1.1211195979
D,P2,0.7812131346,1.0949776680
N,M2,0.7336077665,1.0997953787
P1,N,0.7241585353,1.1214004498
D,M1,0.7419548350,1.1115119628
N,P1,0.7194344456,1.1071599804
D,P1,0.7265509803,1.1193098921
N,M1,0.7540241183,1.0927560767
N,P2,0.7698483252,1.0845109279
N,D,0.6287162262,1.1514899701
P1,P2,0.7238725374,1.1189471464
D,N,0.6142558797,1.1794506138
P2,P2,0.7866167051,1.0802344169
P1,M1,0.7679535589,1.0958180378
P1,M2,0.6741859424,1.1434842251
P2,D,0.7314191714,1.1044033514
M1,M1,0.7773432648,1.0876276752
P2,N,0.7000588424,1.1257463700
P2,M2,0.7374731223,1.1043762354
M1,N,0.7043372619,1.1258206537
M1,D,0.7100637742,1.1210582858
P2,M1,0.7488677223,1.0978839453
M1,P2,0.6859997634,1.1355232110
M1,P1,0.7296399945,1.1108624054
M2,D,0.7356102406,1.1044631233
P2,P1,0.6511827935,1.1463130607
M2,N,0.7202351403,1.1211154076
M1,M2,0.5359489361,1.2093635240
M2,M2,0.7771758011,1.0874690462
M2,P1,0.7391997375,1.1052173724
M2,P2,0.7768749991,1.0887100043
M2,M1,0.7004162533,1.1292946548
