prey,predator,prey_payoff,predator_payoff
D,D,0.8657651445,1.0479664285
D,P2,0.8671597620,1.0525130868
D,P1,0.8512951956,1.0581326987
D,N,0.6566867987,1.1662509406
D,M1,0.8633273306,1.0515956759
N,N,0.8291222160,1.0577323180
D,M2,0.8526962277,1.0603016095
N,D,0.7097127988,1.1174649284
N,P1,0.7097651871,1.1181326119
N,P2,0.8078940376,1.0681568284
N,M1,0.7857244623,1.0802730138
N,M2,0.7259395046,1.1096084023
P1,D,0.8675830966,1.0425615525
P1,P1,0.8359951174,1.0622592043
P1,N,0.8144832398,1.0775276477
P1,P2,0.8444187703,1.0607345687
P1,M2,0.8311822859,1.0661544155
P1,M1,0.8574972009,1.0517393296
P2,D,0.7916119489,1.0784452530
P2,N,0.7995018228,1.0781380765
P2,P2,0.8509265752,1.0488411426
P2,M1,0.7907311373,1.0802985640
P2,P1,0.7009654496,1.1283581363
P2,M2,0.8243045580,1.0623244386
M1,D,0.8620243143,1.0427892319
M1,N,0.8046522817,1.0780706604
M1,P1,0.8192739520,1.0677144522
M1,P2,0.8375106537,1.0602375965
M1,M1,0.8442465096,1.0551367995
M2,D,0.7956621354,1.0787856648
M1,M2,0.6334812930,1.1711175213
M2,N,0.8094408380,1.0775461258
M2,P1,0.7868990886,1.0848478520
M2,P2,0.8680292846,1.0431907448
M2,M2,0.8423048593,1.0561726346
M2,M1,0.6473271844,1.1613731692
