prey,predator,prey_payoff,predator_payoff
D,D,1.1202010470,0.8453030413
N,N,1.1764280875,0.8026591059
P1,P1,1.1440368398,0.8330867396
D,P2,1.1287473837,0.8494102611
P1,N,1.2438807962,0.7958781019
D,M1,1.1755222713,0.8256450575
P1,D,1.1342296427,0.8338657282
D,M2,1.1163793659,0.8546547611
N,P2,1.1337774403,0.8197109881
N,M2,1.1172163144,0.8248023116
D,P1,1.1690021614,0.8283505142
N,P1,1.1078064300,0.8288549267
N,M1,1.1242237851,0.8237826957
D,N,1.2739099195,0.7917006920
N,D,1.1125714064,0.8216670012
P1,P2,1.0017300760,0.8943999148
P1,M1,1.1595524663,0.8277457251
P2,P2,1.1365210974,0.8248054462
P1,M2,0.9683678866,0.9070364453
P2,D,1.1222501596,0.8287947523
M1,M1,1.1409040965,0.8286206431
P2,N,1.2233194920,0.7912355970
M1,D,1.1205666618,0.8339598539
P2,M1,1.1582449127,0.8155478025
P2,M2,1.1217685742,0.8298523804
M1,P1,1.1263271759,0.8336017242
M1,P2,0.9706646684,0.9012965038
M1,N,1.2381428597,0.7912211301
P2,P1,1.1549534939,0.8162853775
M2,D,1.1362741729,0.8286964933
M2,N,1.2291747135,0.7958896099
M1,M2,0.9425802184,0.9113979653
M2,M2,1.1396298771,0.8292778270
M2,P1,1.1631149655,0.8195615426
M2,P2,1.1553185976,0.8238682578
M2,M1,1.1659747137,0.8190811257
