Prey / Predator,D,N,P1,P2,M1,M2
D,1.0639157116,1.0452104329,1.0644089781,1.0731044322,1.0624238282,1.0733135190
N,0.9712332509,1.0626142622,1.0536431612,1.0517720833,1.0528451821,1.0523257904
P1,1.0441202001,1.0711965171,1.0662301267,1.0664262565,1.0695717250,1.0629615442
P2,1.0573325487,1.0568202179,1.0560632214,1.0633954294,1.0540039957,1.0605301942
M1,1.0552399541,1.0568732083,1.0616180426,1.0622387595,1.0649392470,1.0483136243
M2,1.0574189094,1.0711332829,1.0534929218,1.0679938394,1.0602608843,1.0647054735
