Prey / Predator,D,N,P1,P2,M1,M2
D,0.8798021207,0.7746507280,0.8592088583,0.9010858430,0.8713454731,0.8891907084
N,0.6771216697,0.9123630896,0.8556872687,0.9021558806,0.8916557633,0.8670868686
P1,0.8831606974,0.9387381627,0.8995514090,0.9174537532,0.9116009246,0.8925663937
P2,0.8591068405,0.9084063243,0.8320405689,0.9087343716,0.8924655430,0.8797576502
M1,0.8777263190,0.9148108008,0.8780179680,0.8991540678,0.9050035835,0.8662780953
M2,0.8640813857,0.9325209325,0.8900930471,0.9171850765,0.7558476511,0.9031077935
