Prey / Predator,D,N,P1,P2,M1,M2
D,1.0401870176,1.1050138858,1.0531201918,1.0335678133,1.0466611851,1.0398601902
N,1.1384166767,1.0134791799,1.0422887515,1.0183386072,1.0240064349,1.0360610746
P1,1.0345844391,1.0110446940,1.0282804796,1.0212505858,1.0228617700,1.0339222958
P2,1.0434497131,1.0193538955,1.0586180322,1.0175260219,1.0266285055,1.0315654534
M1,1.0346968141,1.0189311387,1.0353415696,1.0274774274,1.0224296654,1.0432853696
M2,1.0435315015,1.0113173611,1.0306400076,1.0168918796,1.1051571499,1.0234641136
